Iteration,augment,batch_size,drop_images,dropout,early_stop,early_stop_method,early_stop_patience,epochs,filter_model,filter_thresh,hidden_layer_width,hidden_layers,include_top,l1,l1_dense,l2,l2_dense,learning_rate,learning_rate_decay,learning_rate_decay_steps,loss,model,normalizer,normalizer_source,onehot_pool,optimizer,pooling,tile_px,tile_um,toplayer_epochs,trainable_layers,training_balance,uq,validation_balance,weight_model,avg_tile_auc
0,xyrjb,118,FALSE,0.037284295,FALSE,loss,0,[1],,,436,5,FALSE,0.030560614,0.071814158,0,0.022672507,0.000587236,0,100000,mean_absolute_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.5
1,xyr,75,FALSE,0.20484741,FALSE,loss,0,[1],,,143,2,FALSE,0.070328516,0,0.028054321,0,0.000242399,0.325386941,277,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.670419535
2,xyrjb,68,FALSE,0.25,FALSE,loss,0,[1],,,576,3,FALSE,0,0,0,0,0.000505,0,100000,mean_absolute_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.673141285
3,xyr,12,FALSE,0.09233021,FALSE,loss,0,[1],,,302,3,FALSE,0,0,0,0.027215338,0.00066811,0,100000,mean_squared_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.749182874
4,xyrjb,59,FALSE,0.165426508,FALSE,loss,0,[1],,,512,5,FALSE,0,0.052500612,0.089083928,0,2.34E-05,0.150224671,984,sparse_categorical_crossentropy,xception,,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.611707253
5,xyr,24,FALSE,0.136572361,FALSE,loss,0,[1],,,612,5,FALSE,0,0,0,0.041759896,0.000171551,0,100000,mean_absolute_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.736396178
6,xyrj,41,FALSE,0.121307351,FALSE,loss,0,[1],,,878,2,FALSE,0,0.060686868,0.002173489,0,0.000507385,0.225055292,778,sparse_categorical_crossentropy,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.5
7,xyrjb,99,FALSE,0.237791866,FALSE,loss,0,[1],,,925,2,FALSE,0.085967094,0.066756177,0,0.008311057,9.76E-05,0,100000,sparse_categorical_crossentropy,xception,,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.654861343
8,xyrj,86,FALSE,0.004462894,FALSE,loss,0,[1],,,800,4,FALSE,0.014900491,0,0.06496551,0,0.000752312,0.299387544,491,mean_absolute_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.66422631
9,xyrj,18,FALSE,0.418236583,FALSE,loss,0,[1],,,492,2,FALSE,0.064207226,0.039407289,0.050441402,0.013549763,0.000266054,0.580665231,707,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.693489792
10,xyrjb,62,FALSE,0.339509606,FALSE,loss,0,[1],,,336,5,FALSE,0.036878321,0,0,0,0.00092045,0,100000,sparse_categorical_crossentropy,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.519733939
11,xyrj,124,FALSE,0.457886279,FALSE,loss,0,[1],,,178,5,FALSE,0,0,0.013670158,0.036350292,0.000494731,0.881346405,560,mean_absolute_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.668593253
12,xyr,76,FALSE,0.284234971,FALSE,loss,0,[1],,,416,3,FALSE,0,0.033348233,0,0,0.000829897,0,100000,mean_squared_error,xception,,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.563185172
13,xyrjb,113,FALSE,0.251656711,FALSE,loss,0,[1],,,765,2,FALSE,0,0,0.076319134,0.044632897,0.000994984,0.994015455,318,sparse_categorical_crossentropy,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.687092584
14,xyrjb,59,FALSE,0.166096953,FALSE,loss,0,[1],,,510,5,FALSE,0,0.052262247,0.089092612,0,2.45E-05,0.151220497,982,sparse_categorical_crossentropy,xception,,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.620407541
15,xyrjb,59,FALSE,0.167727319,FALSE,loss,0,[1],,,511,5,FALSE,0,0.052386652,0.089250569,0,2.40E-05,0.150224671,983,sparse_categorical_crossentropy,xception,,,both,Adam,avg,299,302,0,0,category,FALSE,none,,0.614337554
16,xyrj,18,FALSE,0.417192684,FALSE,loss,0,[1],,,489,2,FALSE,0.064430139,0.039213163,0.050441402,0.013661228,0.00026341,0.581866152,706,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.689979548
17,xyrj,18,FALSE,0.417192684,FALSE,loss,0,[1],,,490,2,FALSE,0.063970531,0.039057693,0.050193491,0.013661228,0.000265483,0.580282555,718,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.640130387
18,xyrj,18,FALSE,0.417994906,FALSE,loss,0,[1],,,490,2,FALSE,0.06556483,0.039621767,0.050310651,0.011052811,0.000265208,0.58052077,714,mean_squared_error,xception,reinhard_fast,,both,Adam,avg,299,302,0,0,patient,FALSE,none,,0.684858676
